Swept Area(m^2),Power (kW)
3848,1500
3848,1500
4615,1500
5289,1500
7854,3000
9331,3000
10568,3000
12305,3000
13720,3000
15431,3000
573,225
600,60
600,100
880,200
880,335
63.6,11
539,275
589.6,275
270,90
415,200
10568,5000
13685,5000
14326,5050
25447,8000
650,200
29.2,6
3.2,1
8,1
12.6,2
7.1,3
18.1,3
15.9,5
32.2,5
23.8,10
50.3,10
78.5,20
191,30
254.5,50
390.4,60
1.1,0.3
5.7,0.5
2,0.6
804,225
58,17
4668.7,1500
5358.5,1500
5890,1500
6647.6,1500
35342,15000
11309,2000
11309,2300
7253,2500
8316,2500
9503,2500
10991.6,2500
13273,2500
10389,3000
14018.5,3000
16512.9,3000
15393,3200
7854,3500
15481.8,4000
16971.6,4200
12548,4500
13273,5000
15175,5000
20867,5700
15174.6,6000
15393.8,6000
18626.5,6000
22167,8000
113,30
176.7,26
227,75
19.6,5
45.6,12.5
78,10
94.5,30
664,225
855,225
1735,500
1735,750
2289,750
182,75
1728,750
2268,600
3420,1500
284,100